Bigram		Count	Probability
('Richard', 'W.')	 : 2	 : 0.0005331437711036076
('was', 'elected')	 : 19	 : 0.0034596090641757483
('elected', 'a')	 : 6	 : 0.0012409147314305974
('a', 'director')	 : 24	 : 0.004040077569489335
('director', 'of')	 : 20	 : 0.0037168141592920354
('of', 'this')	 : 53	 : 0.008251833740831296
('this', 'maker')	 : 5	 : 0.00105318588730911
('maker', 'of')	 : 7	 : 0.001422981145499822
('of', 'industrial')	 : 1	 : 0.0003056234718826406
('industrial', 'and')	 : 1	 : 0.00035656979853806385
('and', 'construction')	 : 2	 : 0.0004774789113480821
('construction', 'equipment')	 : 2	 : 0.0005346640527535199
('equipment', ',')	 : 3	 : 0.0007128854036713598
(',', 'increasing')	 : 13	 : 0.001834862385321101
('increasing', 'board')	 : 4	 : 0.0008896797153024911
('board', 'membership')	 : 4	 : 0.0008372404554588078
('membership', 'to')	 : 5	 : 0.0010687566797292483
('to', '10')	 : 2	 : 0.00047961630695443646
('10', '.')	 : 2	 : 0.0005344735435595938
('.', 'In')	 : 38	 : 0.0059046177138531416
('In', 'addition')	 : 7	 : 0.001415929203539823
('addition', ',')	 : 6	 : 0.001246660730186999
(',', 'the')	 : 111	 : 0.014678899082568808
('the', 'White')	 : 4	 : 0.0007106310403638431
('White', 'House')	 : 4	 : 0.0008911067545891997
('House', 'said')	 : 1	 : 0.00035549235691432633
('said', 'that')	 : 15	 : 0.0027178528962119924
('that', 'Charles')	 : 1	 : 0.00034112229234180454
('Charles', 'Harper')	 : 1	 : 0.00035606195478013177
('Harper', ',')	 : 1	 : 0.0003566333808844508
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'ConAgra')	 : 1	 : 0.0003056234718826406
('ConAgra', 'Inc.')	 : 1	 : 0.0003566969859104691
('Inc.', ',')	 : 30	 : 0.005479936362029344
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'John')	 : 2	 : 0.0004774789113480821
('John', 'McGillicuddy')	 : 1	 : 0.0003540449637103912
('McGillicuddy', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Manufacturers')	 : 3	 : 0.0006112469437652812
('Manufacturers', 'Hanover')	 : 1	 : 0.00035656979853806385
('Hanover', 'Corp.')	 : 1	 : 0.0003566969859104691
('Corp.', ',')	 : 37	 : 0.006706671373102718
(',', 'will')	 : 21	 : 0.0028833551769331584
('will', 'be')	 : 24	 : 0.004370629370629371
('be', 'among')	 : 1	 : 0.00035001750087504374
('among', 'a')	 : 1	 : 0.00035656979853806385
('a', 'group')	 : 6	 : 0.0011312217194570137
('group', 'of')	 : 4	 : 0.0008849557522123894
('of', 'at')	 : 1	 : 0.0003056234718826406
('at', 'least')	 : 4	 : 0.0008762705923589204
('least', '15')	 : 1	 : 0.0003563791874554526
('15', 'business')	 : 1	 : 0.0003563791874554526
('business', 'and')	 : 1	 : 0.00035568202027387515
('and', 'labor')	 : 1	 : 0.0003183192742320548
('labor', 'representatives')	 : 1	 : 0.00035650623885918
('representatives', 'in')	 : 1	 : 0.00035656979853806385
('in', 'the')	 : 92	 : 0.01559094719195306
('the', 'presidential')	 : 1	 : 0.0002842524161455372
('presidential', 'mission')	 : 1	 : 0.00035656979853806385
('mission', '.')	 : 1	 : 0.0003566969859104691
('.', '``')	 : 93	 : 0.014231642694928085
('``', 'It')	 : 10	 : 0.0018790570550051248
('It', 'seems')	 : 1	 : 0.00035536602700781805
('seems', 'computers')	 : 1	 : 0.00035650623885918
('computers', 'as')	 : 1	 : 0.0003566333808844508
('as', 'hobbies')	 : 1	 : 0.00034746351633078526
('hobbies', 'have')	 : 1	 : 0.0003566969859104691
('have', 'waned')	 : 1	 : 0.00035310734463276836
('waned', ',')	 : 1	 : 0.0003566969859104691
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'says')	 : 37	 : 0.006499059346673508
('says', 'Ian')	 : 1	 : 0.00035323207347227127
('Ian', 'Brightman')	 : 1	 : 0.0003566333808844508
('Brightman', ',')	 : 1	 : 0.0003566969859104691
(',', 'Beseler')	 : 1	 : 0.0002621231979030144
('Beseler', "'s")	 : 1	 : 0.0003566969859104691
("'s", 'chairman')	 : 66	 : 0.011183441829410784
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', '.')	 : 21	 : 0.0038320850026127853
('.', 'Campeau')	 : 1	 : 0.0003028009084027252
('Campeau', "'s")	 : 1	 : 0.0003566333808844508
("'s", 'chairman')	 : 66	 : 0.011183441829410784
('chairman', ',')	 : 92	 : 0.015097402597402597
(',', 'Robert')	 : 6	 : 0.0009174311926605505
('Robert', 'Campeau')	 : 1	 : 0.00035423308537017357
('Campeau', ',')	 : 1	 : 0.0003566333808844508
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'at')	 : 3	 : 0.0006794632240529981
('at', 'its')	 : 1	 : 0.0003505082369435682
('its', 'annual')	 : 1	 : 0.0003487358326068004
('annual', 'meeting')	 : 1	 : 0.0003562522265764161
('meeting', 'in')	 : 2	 : 0.0005330490405117271
('in', 'July')	 : 3	 : 0.0006705783738474435
('July', 'that')	 : 1	 : 0.00035650623885918
('that', 'he')	 : 11	 : 0.0020467337540508272
('he', 'valued')	 : 1	 : 0.00035137034434293746
('valued', 'Bloomingdale')	 : 1	 : 0.00035650623885918
('Bloomingdale', "'s")	 : 2	 : 0.0005349500713266762
("'s", 'at')	 : 1	 : 0.00033383408446002337
('at', '$')	 : 4	 : 0.0008762705923589204
('$', '2')	 : 3	 : 0.0007010164738871364
('2', 'billion')	 : 3	 : 0.0007126313914127917
('billion', '.')	 : 5	 : 0.0010660980810234541
('.', 'Thomas')	 : 2	 : 0.0004542013626040878
('Thomas', 'Spiegel')	 : 2	 : 0.0005338078291814947
('Spiegel', ',')	 : 2	 : 0.0005349500713266762
(',', 'Columbia')	 : 1	 : 0.0002621231979030144
('Columbia', "'s")	 : 1	 : 0.0003566333808844508
("'s", 'chairman')	 : 66	 : 0.011183441829410784
('chairman', ',')	 : 92	 : 0.015097402597402597
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'in')	 : 9	 : 0.0016986580601324954
('in', 'a')	 : 23	 : 0.00402347024308466
('a', 'statement')	 : 12	 : 0.0021008403361344537
('statement', 'that')	 : 2	 : 0.0005336179295624333
('that', 'the')	 : 52	 : 0.009039740747057821
('the', 'thrift')	 : 1	 : 0.0002842524161455372
('thrift', 'was')	 : 1	 : 0.0003566333808844508
('was', '``')	 : 6	 : 0.0012108631724615118
('``', 'disappointed')	 : 1	 : 0.00034164673727365904
('disappointed', "''")	 : 1	 : 0.0003566969859104691
("''", 'by')	 : 3	 : 0.0006841115101761587
('by', 'the')	 : 43	 : 0.0076641700052255705
('the', 'effects')	 : 1	 : 0.0002842524161455372
('effects', 'of')	 : 2	 : 0.0005349500713266762
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'accounting')	 : 1	 : 0.0002842524161455372
('accounting', 'changes')	 : 1	 : 0.00035656979853806385
('changes', '.')	 : 2	 : 0.0005347593582887701
('.', '``')	 : 93	 : 0.014231642694928085
('``', 'I')	 : 9	 : 0.0017082336863682953
('I', 'really')	 : 1	 : 0.00035568202027387515
('really', 'do')	 : 1	 : 0.00035656979853806385
('do', "n't")	 : 7	 : 0.001422475106685633
("n't", 'see')	 : 1	 : 0.00035112359550561797
('see', 'the')	 : 1	 : 0.0003563791874554526
('the', 'government')	 : 6	 : 0.0009948834565093804
('government', 'doing')	 : 1	 : 0.0003559352197899982
('doing', 'something')	 : 1	 : 0.00035650623885918
('something', 'that')	 : 2	 : 0.0005344735435595938
('that', 'Jaguar')	 : 1	 : 0.00034112229234180454
('Jaguar', 'does')	 : 1	 : 0.0003562522265764161
('does', "n't")	 : 8	 : 0.0016028495102404273
("n't", 'want')	 : 2	 : 0.000526685393258427
('want', 'over')	 : 1	 : 0.00035618878005342833
('over', 'the')	 : 5	 : 0.0010662875422072153
('the', 'next')	 : 7	 : 0.0011370096645821489
('next', '14')	 : 1	 : 0.00035549235691432633
('14', 'months')	 : 1	 : 0.0003563156957063959
('months', ',')	 : 4	 : 0.00088999644001424
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'said')	 : 48	 : 0.008380365999657944
('said', 'Kenneth')	 : 3	 : 0.0006794632240529981
('Kenneth', 'Warren')	 : 1	 : 0.00035618878005342833
('Warren', ',')	 : 1	 : 0.0003563791874554526
(',', 'a')	 : 68	 : 0.009043250327653997
('a', 'Conservative')	 : 1	 : 0.0003232062055591467
('Conservative', 'member')	 : 1	 : 0.0003566969859104691
('member', 'of')	 : 6	 : 0.0012457732692649937
('of', 'Parliament')	 : 1	 : 0.0003056234718826406
('Parliament', 'and')	 : 1	 : 0.0003566969859104691
('and', 'chairman')	 : 15	 : 0.002546554193856438
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'Select')	 : 1	 : 0.0002842524161455372
('Select', 'Committee')	 : 1	 : 0.0003566969859104691
('Committee', 'on')	 : 2	 : 0.0005334281650071124
('on', 'Trade')	 : 1	 : 0.00034746351633078526
('Trade', 'and')	 : 1	 : 0.00035656979853806385
('and', 'Industry')	 : 1	 : 0.0003183192742320548
('Industry', 'in')	 : 1	 : 0.0003566333808844508
('in', 'Britain')	 : 1	 : 0.00033528918692372173
('Britain', "'s")	 : 1	 : 0.0003566333808844508
("'s", 'House')	 : 1	 : 0.00033383408446002337
('House', 'of')	 : 1	 : 0.00035549235691432633
('of', 'Commons')	 : 1	 : 0.0003056234718826406
('Commons', '.')	 : 1	 : 0.0003566969859104691
('.', 'Meanwhile')	 : 4	 : 0.000757002271006813
('Meanwhile', ',')	 : 5	 : 0.0010693281055070398
(',', 'the')	 : 111	 : 0.014678899082568808
('the', 'company')	 : 84	 : 0.012080727686185332
('company', "'s")	 : 42	 : 0.0074743612028506864
("'s", 'board')	 : 48	 : 0.008178935069270572
('board', ',')	 : 32	 : 0.005525787006028131
(',', 'which')	 : 37	 : 0.004980340760157274
('which', 'had')	 : 2	 : 0.0005306916681408102
('had', 'said')	 : 2	 : 0.0005305978068623983
('said', 'nothing')	 : 1	 : 0.00033973161202649905
('nothing', 'publicly')	 : 1	 : 0.0003566333808844508
('publicly', 'about')	 : 1	 : 0.0003566333808844508
('about', 'investor')	 : 1	 : 0.0003541076487252125
('investor', 'Donald')	 : 1	 : 0.0003564427018356799
('Donald', 'Trump')	 : 3	 : 0.0007126313914127917
('Trump', "'s")	 : 1	 : 0.0003563791874554526
("'s", 'recently')	 : 1	 : 0.00033383408446002337
('recently', 'withdrawn')	 : 1	 : 0.0003563156957063959
('withdrawn', '$')	 : 1	 : 0.0003566969859104691
('$', '7.5')	 : 1	 : 0.0003505082369435682
('7.5', 'billion')	 : 1	 : 0.0003566969859104691
('billion', 'offer')	 : 1	 : 0.00035536602700781805
('offer', 'for')	 : 5	 : 0.0010645848119233499
('for', 'AMR')	 : 1	 : 0.0003471017007983339
('AMR', ',')	 : 1	 : 0.00035618878005342833
(',', 'issued')	 : 1	 : 0.0002621231979030144
('issued', 'a')	 : 2	 : 0.0005346640527535199
('a', 'statement')	 : 12	 : 0.0021008403361344537
('statement', 'condemning')	 : 1	 : 0.0003557452863749555
('condemning', '``')	 : 1	 : 0.0003566333808844508
('``', 'ill-conceived')	 : 1	 : 0.00034164673727365904
('ill-conceived', 'and')	 : 1	 : 0.0003566969859104691
('and', 'reckless')	 : 2	 : 0.0004774789113480821
('reckless', "''")	 : 1	 : 0.00035656979853806385
("''", 'bids')	 : 1	 : 0.0003420557550880794
('bids', 'and')	 : 1	 : 0.0003564427018356799
('and', 'saying')	 : 1	 : 0.0003183192742320548
('saying', 'it')	 : 2	 : 0.0005341880341880342
('it', 'was')	 : 15	 : 0.002805049088359046
('was', '``')	 : 6	 : 0.0012108631724615118
('``', 'pleased')	 : 1	 : 0.00034164673727365904
('pleased', "''")	 : 1	 : 0.0003566333808844508
("''", 'that')	 : 3	 : 0.0006841115101761587
('that', 'Mr.')	 : 8	 : 0.0015350503155381204
('Mr.', 'Trump')	 : 3	 : 0.0006915629322268327
('Trump', 'had')	 : 1	 : 0.0003563791874554526
('had', 'backed')	 : 1	 : 0.00035373187124159886
('backed', 'out')	 : 1	 : 0.0003566969859104691
('out', '.')	 : 3	 : 0.0007095973035302466
('.', 'Mr.')	 : 67	 : 0.010295230885692657
('Mr.', 'Rogers')	 : 1	 : 0.00034578146611341634
('Rogers', ',')	 : 1	 : 0.0003566969859104691
(',', '60')	 : 2	 : 0.00039318479685452164
('60', 'years')	 : 2	 : 0.0005348546978070957
('years', 'old')	 : 29	 : 0.005304101838755304
('old', ',')	 : 26	 : 0.0047872340425531915
(',', 'succeeds')	 : 5	 : 0.0007863695937090433
('succeeds', 'J.V.')	 : 1	 : 0.00035587188612099647
('J.V.', 'White')	 : 1	 : 0.0003566969859104691
('White', ',')	 : 1	 : 0.0003564427018356799
(',', '64')	 : 4	 : 0.000655307994757536
('64', ',')	 : 3	 : 0.00071301247771836
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'will')	 : 8	 : 0.0015778401122019635
('will', 'remain')	 : 13	 : 0.0024475524475524478
('remain', 'chairman')	 : 5	 : 0.0010659086871558003
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chairman')	 : 15	 : 0.002546554193856438
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'executive')	 : 3	 : 0.0005685048322910744
('executive', 'committee')	 : 6	 : 0.0012079378774805867
('committee', '.')	 : 6	 : 0.0012426770814841115
('.', 'Gillette')	 : 1	 : 0.0003028009084027252
('Gillette', 'Co.')	 : 1	 : 0.00035656979853806385
('Co.', 'elected')	 : 1	 : 0.0003546099290780142
('elected', 'Warren')	 : 1	 : 0.0003545470661230278
('Warren', 'E.')	 : 1	 : 0.0003563791874554526
('E.', 'Buffett')	 : 1	 : 0.00035568202027387515
('Buffett', ',')	 : 1	 : 0.0003566333808844508
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Berkshire')	 : 1	 : 0.0003056234718826406
('Berkshire', 'Hathaway')	 : 2	 : 0.0005349500713266762
('Hathaway', 'Inc.')	 : 1	 : 0.0003566333808844508
('Inc.', ',')	 : 30	 : 0.005479936362029344
(',', 'to')	 : 16	 : 0.0022280471821756226
('to', 'its')	 : 4	 : 0.0007993605115907274
('its', 'board')	 : 34	 : 0.006102877070619006
('board', ',')	 : 32	 : 0.005525787006028131
(',', 'increasing')	 : 13	 : 0.001834862385321101
('increasing', 'the')	 : 6	 : 0.0012455516014234875
('the', 'number')	 : 5	 : 0.0008527572484366117
('number', 'of')	 : 9	 : 0.0017806267806267807
('of', 'directors')	 : 7	 : 0.0012224938875305623
('directors', 'to')	 : 3	 : 0.0007097232079489
('to', '12')	 : 2	 : 0.00047961630695443646
('12', 'from')	 : 1	 : 0.00035656979853806385
('from', '11')	 : 1	 : 0.00035161744022503517
('11', '.')	 : 1	 : 0.00035618878005342833
('.', 'It')	 : 12	 : 0.001968205904617714
('It', "'s")	 : 9	 : 0.0017768301350390902
("'s", 'not')	 : 4	 : 0.0008345852111500584
('not', 'an')	 : 1	 : 0.0003553028957186001
('an', 'effort')	 : 1	 : 0.00035180299032541777
('effort', 'to')	 : 4	 : 0.00089126559714795
('to', 'steal')	 : 1	 : 0.000319744204636291
('steal', 'the')	 : 1	 : 0.0003566969859104691
('the', 'company')	 : 84	 : 0.012080727686185332
('company', "''")	 : 1	 : 0.0003476447071093343
("''", 'in')	 : 5	 : 0.001026167265264238
('in', 'the')	 : 92	 : 0.01559094719195306
('the', 'middle')	 : 17	 : 0.002558271745309835
('middle', 'of')	 : 12	 : 0.0023061912364733014
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'night')	 : 2	 : 0.00042637862421830583
('night', '.')	 : 2	 : 0.0005347593582887701
('.', 'After')	 : 5	 : 0.0009084027252081756
('After', 'four')	 : 1	 : 0.0003564427018356799
('four', 'year')	 : 1	 : 0.00035618878005342833
('year', 'of')	 : 1	 : 0.000354735721887194
('of', 'tinkering')	 : 1	 : 0.0003056234718826406
('tinkering', 'and')	 : 1	 : 0.0003566969859104691
('and', '$')	 : 5	 : 0.0009549578226961642
('$', '2.4')	 : 1	 : 0.0003505082369435682
('2.4', 'million')	 : 1	 : 0.0003566969859104691
('million', 'in')	 : 7	 : 0.0014139271827500884
('in', 'seed')	 : 1	 : 0.00033528918692372173
('seed', 'money')	 : 1	 : 0.0003566969859104691
('money', ',')	 : 1	 : 0.00035606195478013177
(',', 'the')	 : 111	 : 0.014678899082568808
('the', 'board')	 : 144	 : 0.02060830017055145
('board', 'set')	 : 1	 : 0.0003348961821835231
('set', 'up')	 : 3	 : 0.0007125044531528322
('up', 'the')	 : 2	 : 0.000532103582830791
('the', 'new')	 : 23	 : 0.0034110289937464467
('new', 'marketplace')	 : 1	 : 0.0003526093088857546
('marketplace', ',')	 : 1	 : 0.00035656979853806385
(',', 'titled')	 : 1	 : 0.0002621231979030144
('titled', 'it')	 : 1	 : 0.0003566969859104691
('it', 'the')	 : 1	 : 0.0003506311360448808
('the', 'Chicago')	 : 1	 : 0.0002842524161455372
('Chicago', 'Board')	 : 2	 : 0.0005346640527535199
('Board', 'Options')	 : 1	 : 0.00035561877667140827
('Options', 'Exchange')	 : 1	 : 0.00035650623885918
('Exchange', ',')	 : 1	 : 0.00035612535612535614
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'named')	 : 1	 : 0.0003183192742320548
('named', 'Sullivan')	 : 1	 : 0.0003531696980399082
('Sullivan', 'its')	 : 1	 : 0.0003566969859104691
('its', 'first')	 : 1	 : 0.0003487358326068004
('first', 'president')	 : 1	 : 0.00035612535612535614
('president', '.')	 : 5	 : 0.001053370786516854
('.', 'Just')	 : 1	 : 0.0003028009084027252
('Just', 'five')	 : 1	 : 0.0003566969859104691
('five', 'months')	 : 1	 : 0.00035606195478013177
('months', 'after')	 : 1	 : 0.000355998576005696
('after', 'Ogilvy')	 : 1	 : 0.0003549875754348598
('Ogilvy', 'Group')	 : 1	 : 0.00035650623885918
('Group', 'was')	 : 1	 : 0.00035561877667140827
('was', 'swallowed')	 : 1	 : 0.0003459609064175748
('swallowed', 'up')	 : 1	 : 0.0003566333808844508
('up', 'in')	 : 1	 : 0.000354735721887194
('in', 'an')	 : 9	 : 0.0016764459346186086
('an', 'unsolicited')	 : 1	 : 0.00035180299032541777
('unsolicited', 'takeover')	 : 1	 : 0.0003566333808844508
('takeover', ',')	 : 1	 : 0.00035606195478013177
(',', 'Kenneth')	 : 4	 : 0.000655307994757536
('Kenneth', 'Roman')	 : 3	 : 0.0007123775601068567
('Roman', ',')	 : 3	 : 0.0007131395970761277
(',', 'Ogilvy')	 : 1	 : 0.0002621231979030144
('Ogilvy', "'s")	 : 3	 : 0.00071301247771836
("'s", 'chairman')	 : 66	 : 0.011183441829410784
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', ',')	 : 56	 : 0.009928583870405853
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'he')	 : 21	 : 0.00373704773229149
('he', 'is')	 : 9	 : 0.0017568517217146872
('is', 'leaving')	 : 2	 : 0.0005178663904712584
('leaving', 'to')	 : 2	 : 0.0005347593582887701
('to', 'take')	 : 8	 : 0.0014388489208633094
('take', 'a')	 : 6	 : 0.0012451085023123443
('a', 'top')	 : 2	 : 0.0004848093083387201
('top', 'post')	 : 2	 : 0.0005347593582887701
('post', 'at')	 : 2	 : 0.0005336179295624333
('at', 'American')	 : 2	 : 0.0005257623554153522
('American', 'Express')	 : 4	 : 0.0008884150675195451
('Express', 'Co')	 : 1	 : 0.0003564427018356799
('Co', '.')	 : 7	 : 0.0014252627828255835
('.', 'Frank')	 : 2	 : 0.0004542013626040878
('Frank', 'J.')	 : 1	 : 0.00035618878005342833
('J.', 'Pascale')	 : 1	 : 0.0003551136363636364
('Pascale', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Eagle')	 : 2	 : 0.0004584352078239609
('Eagle', ',')	 : 2	 : 0.0005349500713266762
(',', 'will')	 : 21	 : 0.0028833551769331584
('will', 'be')	 : 24	 : 0.004370629370629371
('be', 'chairman')	 : 3	 : 0.0007000350017500875
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'new')	 : 23	 : 0.0034110289937464467
('new', 'firm')	 : 1	 : 0.0003526093088857546
('firm', 'and')	 : 1	 : 0.000354924578527063
('and', 'James')	 : 1	 : 0.0003183192742320548
('James', 'C.')	 : 1	 : 0.0003551136363636364
('C.', 'Smith')	 : 1	 : 0.00035618878005342833
('Smith', ',')	 : 2	 : 0.0005345687811831789
(',', 'president')	 : 35	 : 0.00471821756225426
('president', 'and')	 : 45	 : 0.008075842696629214
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', 'of')	 : 46	 : 0.008186727051036406
('of', 'Webster')	 : 2	 : 0.0004584352078239609
('Webster', ',')	 : 2	 : 0.0005349500713266762
(',', 'will')	 : 21	 : 0.0028833551769331584
('will', 'take')	 : 3	 : 0.0006993006993006993
('take', 'those')	 : 1	 : 0.0003557452863749555
('those', 'posts')	 : 4	 : 0.0008898380494749955
('posts', 'at')	 : 1	 : 0.0003563156957063959
('at', 'Webster\\/Eagle')	 : 1	 : 0.0003505082369435682
('Webster\\/Eagle', '.')	 : 2	 : 0.0005349500713266762
('.', 'It')	 : 12	 : 0.001968205904617714
('It', 'has')	 : 2	 : 0.0005330490405117271
('has', "n't")	 : 9	 : 0.0017556179775280898
("n't", 'made')	 : 1	 : 0.00035112359550561797
('made', 'merger')	 : 1	 : 0.00035555555555555557
('merger', 'overtures')	 : 1	 : 0.0003564427018356799
('overtures', 'to')	 : 1	 : 0.0003566969859104691
('to', 'the')	 : 85	 : 0.013749000799360511
('the', 'board')	 : 144	 : 0.02060830017055145
('board', '.')	 : 57	 : 0.00971198928332217
('.', 'Christopher')	 : 1	 : 0.0003028009084027252
('Christopher', 'Whittle')	 : 1	 : 0.00035650623885918
('Whittle', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'Knoxville')	 : 1	 : 0.0002842524161455372
('Knoxville', ',')	 : 1	 : 0.0003566969859104691
(',', 'Tenn.')	 : 2	 : 0.00039318479685452164
('Tenn.', ',')	 : 2	 : 0.0005349500713266762
(',', 'media')	 : 1	 : 0.0002621231979030144
('media', 'company')	 : 1	 : 0.0003566333808844508
('company', 'that')	 : 3	 : 0.0006952894142186686
('that', 'is')	 : 5	 : 0.0010233668770254136
('is', '50')	 : 1	 : 0.00034524426031417227
('50', '%')	 : 5	 : 0.0010689470871191875
('%', 'owned')	 : 1	 : 0.00035335689045936394
('owned', 'by')	 : 2	 : 0.0005349500713266762
('by', 'Time')	 : 1	 : 0.00034837136387388956
('Time', 'Warner')	 : 2	 : 0.0005349500713266762
('Warner', 'Inc.')	 : 1	 : 0.00035650623885918
('Inc.', ',')	 : 30	 : 0.005479936362029344
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'that')	 : 15	 : 0.0027178528962119924
('that', 'by')	 : 2	 : 0.0005116834385127068
('by', 'December')	 : 1	 : 0.00034837136387388956
('December', '1990')	 : 1	 : 0.00035656979853806385
('1990', 'he')	 : 1	 : 0.0003564427018356799
('he', 'expects')	 : 4	 : 0.0008784258608573436
('expects', 'to')	 : 7	 : 0.0014237408791599928
('to', 'have')	 : 9	 : 0.0015987210231814548
('have', 'Channel')	 : 1	 : 0.00035310734463276836
('Channel', 'One')	 : 1	 : 0.0003566969859104691
('One', 'installed')	 : 1	 : 0.0003559352197899982
('installed', 'in')	 : 1	 : 0.0003566969859104691
('in', 'about')	 : 1	 : 0.00033528918692372173
('about', '8,000')	 : 1	 : 0.0003541076487252125
('8,000', 'schools')	 : 1	 : 0.0003566969859104691
('schools', 'with')	 : 1	 : 0.0003566969859104691
('with', 'a')	 : 13	 : 0.0024496937882764656
('a', 'potential')	 : 1	 : 0.0003232062055591467
('potential', 'audience')	 : 1	 : 0.0003563791874554526
('audience', 'of')	 : 1	 : 0.0003566333808844508
('of', 'six')	 : 1	 : 0.0003056234718826406
('six', 'million')	 : 1	 : 0.00035618878005342833
('million', '.')	 : 8	 : 0.0015906680805938495
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'transaction')	 : 1	 : 0.0003473428273706148
('transaction', 'has')	 : 1	 : 0.0003563156957063959
('has', 'been')	 : 17	 : 0.0031601123595505617
('been', 'approved')	 : 2	 : 0.0005315379163713678
('approved', 'by')	 : 3	 : 0.000711490572749911
('by', 'Kyle')	 : 1	 : 0.00034837136387388956
('Kyle', "'s")	 : 1	 : 0.0003566969859104691
("'s", 'board')	 : 48	 : 0.008178935069270572
('board', ',')	 : 32	 : 0.005525787006028131
(',', 'but')	 : 24	 : 0.00327653997378768
('but', 'requires')	 : 1	 : 0.0003545470661230278
('requires', 'the')	 : 1	 : 0.0003566969859104691
('the', 'approval')	 : 1	 : 0.0002842524161455372
('approval', 'of')	 : 1	 : 0.0003563791874554526
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'company')	 : 84	 : 0.012080727686185332
('company', "'s")	 : 42	 : 0.0074743612028506864
("'s", 'shareholders')	 : 1	 : 0.00033383408446002337
('shareholders', '.')	 : 1	 : 0.00035606195478013177
('.', 'Navigation')	 : 2	 : 0.0004542013626040878
('Navigation', 'Mixte')	 : 6	 : 0.0012473271560940842
('Mixte', "'s")	 : 2	 : 0.0005345687811831789
("'s", 'chairman')	 : 66	 : 0.011183441829410784
('chairman', 'had')	 : 2	 : 0.000487012987012987
('had', 'suggested')	 : 1	 : 0.00035373187124159886
('suggested', 'that')	 : 2	 : 0.0005346640527535199
('that', 'friendly')	 : 1	 : 0.00034112229234180454
('friendly', 'institutions')	 : 1	 : 0.0003566333808844508
('institutions', 'were')	 : 1	 : 0.0003566333808844508
('were', 'likely')	 : 1	 : 0.00035373187124159886
('likely', 'to')	 : 6	 : 0.0012471049349723855
('to', 'buy')	 : 4	 : 0.0007993605115907274
('buy', 'its')	 : 1	 : 0.00035612535612535614
('its', 'stock')	 : 3	 : 0.0006974716652136007
('stock', 'as')	 : 1	 : 0.00035423308537017357
('as', 'soon')	 : 1	 : 0.00034746351633078526
('soon', 'as')	 : 1	 : 0.0003566333808844508
('as', 'trading')	 : 1	 : 0.00034746351633078526
('trading', 'opened')	 : 1	 : 0.00035587188612099647
('opened', 'Monday')	 : 1	 : 0.0003566969859104691
('Monday', '.')	 : 3	 : 0.0007121239095602635
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'combined')	 : 1	 : 0.0003473428273706148
('combined', 'companies')	 : 1	 : 0.0003566969859104691
('companies', 'will')	 : 1	 : 0.0003558085749866572
('will', 'become')	 : 8	 : 0.0015734265734265735
